,AdaptorLong reward (mean),AdaptorLong reward (std),AdaptorLong prediction (mean),AdaptorLong prediction (std),Cautious QLearner reward (mean),Cautious QLearner reward (std),Cautious QLearner prediction (mean),Cautious QLearner prediction (std),Cooperator reward (mean),Cooperator reward (std),Cooperator prediction (mean),Cooperator prediction (std),Defector reward (mean),Defector reward (std),Defector prediction (mean),Defector prediction (std),Evolved ANN 5 Noise 05 reward (mean),Evolved ANN 5 Noise 05 reward (std),Evolved ANN 5 Noise 05 prediction (mean),Evolved ANN 5 Noise 05 prediction (std),Evolved ANN reward (mean),Evolved ANN reward (std),Evolved ANN prediction (mean),Evolved ANN prediction (std),Random reward (mean),Random reward (std),Random prediction (mean),Random prediction (std),Tit For Tat reward (mean),Tit For Tat reward (std),Tit For Tat prediction (mean),Tit For Tat prediction (std),Worse and Worse reward (mean),Worse and Worse reward (std),Worse and Worse prediction (mean),Worse and Worse prediction (std)
868,0.5504,0.615353427,0.803185572,0.741086939,3.4592,1.165476452,5.020464958,2.250167183,3.835,0.986293567,5.88652446,2.006898569,0.5666,0.495544589,0.826418215,0.674936828,1.5698,1.687995249,2.337910263,2.671530091,0.4834,0.502717058,0.691729615,0.653436785,1.7012,1.642777696,2.032606493,1.71845868,2.7313,1.831638695,4.165674484,1.951794923,0.5778,1.141028992,1.02055708,1.236513526
869,0.5523,0.617142374,0.807231563,0.743539502,3.4514,1.152144974,5.025899065,2.233328454,3.8276,0.985027025,5.913087307,1.957830032,0.5599,0.496399023,0.825514193,0.66628595,1.5563,1.674225287,2.345325065,2.66282247,0.4817,0.502658045,0.684768847,0.657539423,1.7204,1.653548862,2.045919983,1.717787927,2.7066,1.846433438,4.121875683,1.980351439,0.573,1.148072733,1.000040456,1.214606335
870,0.5601,0.614481887,0.813942873,0.733496054,3.4575,1.167558885,5.048359508,2.227623469,3.8514,0.988897386,5.927762365,1.961795139,0.5606,0.496314054,0.814763709,0.67974451,1.5626,1.673643104,2.361103236,2.665059328,0.4845,0.504142589,0.695595382,0.65418813,1.6973,1.675372409,2.040879134,1.734676209,2.6831,1.855336732,4.11919223,1.966172222,0.5898,1.163501594,0.995006756,1.20405506
871,0.5499,0.616692784,0.786656761,0.73391296,3.473,1.167591966,5.049586178,2.245772391,3.8262,0.984780971,5.906862861,1.946143523,0.5565,0.496797494,0.81739411,0.677689859,1.5574,1.679614611,2.364391522,2.675966256,0.4919,0.504315764,0.702163444,0.6561288,1.7081,1.666581648,2.051331422,1.746156513,2.6994,1.838434018,4.143076336,1.96132354,0.5805,1.154174922,1.00007838,1.225078213
872,0.5571,0.620757271,0.810853492,0.738526473,3.4658,1.16680348,5.049267201,2.223468963,3.8224,0.984102759,5.894559053,1.982503088,0.5584,0.496577728,0.820227546,0.680393063,1.5625,1.694312176,2.344862932,2.680096233,0.4878,0.50561958,0.69104111,0.660442696,1.6968,1.65881577,2.02248807,1.72618126,2.7112,1.84764568,4.14484334,1.962714097,0.5922,1.158144706,0.984641004,1.221297617
873,0.5665,0.607435388,0.823013059,0.7348973,3.4796,1.171658585,5.031844764,2.25544843,3.854,0.98928459,5.917611895,1.982331555,0.5708,0.494961978,0.830924864,0.679189591,1.5435,1.67484559,2.339451879,2.666109181,0.4799,0.505367183,0.694015296,0.652203744,1.705,1.667565591,2.072257617,1.736911732,2.6915,1.841772991,4.131171409,1.959691645,0.5541,1.123331291,0.981859002,1.213730903
874,0.5523,0.612261962,0.806496876,0.733349789,3.4467,1.175227259,5.020109394,2.244234971,3.8298,0.985409539,5.845314407,2.050256439,0.5666,0.495544589,0.831675883,0.668543683,1.5695,1.680764633,2.347518808,2.674227095,0.4848,0.504151723,0.690875619,0.655917216,1.7253,1.662660492,2.022386889,1.735791725,2.6974,1.840661088,4.160313489,1.936964869,0.5639,1.142417082,0.983633571,1.207821696
875,0.5604,0.629564802,0.805884954,0.742347266,3.4718,1.157758507,5.023191181,2.240390128,3.832,0.985786995,5.868183442,2.027012368,0.5619,0.496153595,0.825776931,0.672625576,1.5571,1.688531785,2.322812314,2.682582188,0.4818,0.504052339,0.694123421,0.654801116,1.7276,1.669190894,2.059223858,1.721868672,2.7344,1.853174746,4.148484294,1.972746847,0.5737,1.142439631,0.965914424,1.189922942
876,0.5518,0.616860406,0.801900594,0.74358022,3.47,1.16211015,4.997223113,2.271034115,3.8296,0.985374974,5.913143747,1.961698763,0.5662,0.495598184,0.822529196,0.673911155,1.5547,1.692456177,2.329955237,2.674107087,0.4869,0.505597063,0.697456088,0.65507175,1.6629,1.655253331,2.049122062,1.721614214,2.6647,1.866888832,4.114077881,1.961759157,0.5559,1.127951768,0.981433173,1.206060013
877,0.5483,0.61161026,0.805758779,0.730253557,3.4731,1.145982718,5.003741507,2.269975181,3.8414,0.987342919,5.893921929,2.018854075,0.5543,0.497042765,0.819596097,0.67290317,1.5495,1.672468161,2.331547575,2.65047872,0.481,0.506792857,0.693356804,0.654807184,1.7571,1.670418986,2.054293028,1.725348414,2.6973,1.842083796,4.110701835,1.986707705,0.5605,1.133816453,0.980186015,1.192593771
